time,strain,media,rep,C,GC,swim,swarm,notes
5,OTI127,0.3,1,0.7,1,,,
5,OTI127,0.3,2,0.4,0.8,,,
5,OTI127,0.3,3,0.5,0.7,,,
5,CAE163,0.5,1,0.5,NA,,,
5,CAE163,0.5,2,0.5,NA,,,
5,CAE163,0.5,3,0.4,NA,,,
5,CAE163,0.3,1,0.4,NA,,,
5,CAE163,0.3,2,0.4,NA,,,
5,CAE163,0.3,3,0.4,NA,,,
5,OTI514,0.5,1,0.6,0.8,,,
5,OTI514,0.5,2,0.6,0.8,,,
5,OTI514,0.5,3,0.6,0.7,,,
5,OTI514,0.3,1,0.5,0.8,,,
5,OTI514,0.3,2,0.5,0.7,,,
5,OTI514,0.3,3,0.5,0.7,,,
5,CAE268,0.5,1,0.5,NA,,,
5,CAE268,0.5,2,0.5,NA,,,
5,CAE268,0.5,3,0.5,NA,,,
5,CAE268,0.3,1,0.4,0.4,,,
5,CAE268,0.3,2,0.4,0.4,,,
5,CAE268,0.3,3,0.4,0.4,,,
5,OTI146,0.5,1,0.4,NA,,,
5,OTI146,0.5,2,0.5,NA,,,
5,OTI146,0.5,3,0.5,NA,,,
5,OTI146,0.3,1,0.4,NA,,,
5,OTI146,0.3,2,0.4,NA,,,
5,OTI146,0.3,3,0.4,NA,,,
5,CAE546,0.5,1,0.5,NA,,,
5,CAE546,0.5,2,0.5,NA,,,
5,CAE546,0.5,3,0.5,NA,,,
5,CAE546,0.3,1,0.5,NA,,,
5,CAE546,0.3,2,0.5,NA,,,
5,CAE546,0.3,3,0.5,NA,,,
5,OTI154,0.5,1,0.6,0.6,,,
5,OTI154,0.5,2,0.6,0.6,,,
5,OTI154,0.5,3,0.6,0.6,,,
5,OTI154,0.3,1,0.5,0.7,,,
5,OTI154,0.3,2,0.5,0.7,,,
5,OTI154,0.3,3,0.5,0.8,,,
5,CAE271,0.5,1,0.5,NA,,,
5,CAE271,0.5,2,0.5,NA,,,
5,CAE271,0.5,3,0.5,NA,,,
5,CAE271,0.3,1,0.4,NA,,,
5,CAE271,0.3,2,0.4,NA,,,
5,CAE271,0.3,3,0.5,NA,,,
5,CAE433,0.5,1,0.6,0.7,,,
5,CAE433,0.5,2,0.6,0.8,,,
5,CAE433,0.5,3,0.6,0.8,,,
5,CAE433,0.3,1,0.5,0.6,,,
5,CAE433,0.3,2,0.4,0.5,,,
5,CAE433,0.3,3,0.4,0.5,,,
5,CAE734B,0.5,1,0.5,NA,,,
5,CAE734B,0.5,2,0.5,NA,,,
5,CAE734B,0.5,3,0.5,NA,,,
5,CAE734B,0.3,1,0.5,NA,,,
5,CAE734B,0.3,2,0.5,NA,,,
5,CAE734B,0.3,3,0.5,NA,,,
5,CAE548,0.5,1,0.5,NA,,,
5,CAE548,0.5,2,0.5,NA,,,
5,CAE548,0.5,3,0.5,NA,,,
5,CAE548,0.3,1,0.4,NA,,,
5,CAE548,0.3,2,0.4,NA,,,
5,CAE548,0.3,3,0.4,NA,,,
5,CAE743B,0.5,1,0.5,NA,,,
5,CAE743B,0.5,2,0.5,NA,,,
5,CAE743B,0.5,3,0.5,NA,,,
5,CAE743B,0.3,1,0.4,NA,,,
5,CAE743B,0.3,2,0.4,NA,,,
5,CAE743B,0.3,3,0.4,NA,,,
5,CAE493,0.5,1,0.5,NA,,,
5,CAE493,0.5,2,0.5,NA,,,
5,CAE493,0.5,3,0.5,NA,,,
5,CAE493,0.3,1,0.5,NA,,,
5,CAE493,0.3,2,0.5,NA,,,
5,CAE493,0.3,3,0.5,NA,,,
5,OTI749C,0.5,1,0.5,0.5,,,
5,OTI749C,0.5,2,0.5,0.5,,,
5,OTI749C,0.5,3,0.6,0.6,,,
5,OTI749C,0.3,1,0.4,0.6,,,
5,OTI749C,0.3,2,NA,NA,,,
5,OTI749C,0.3,3,0.4,0.6,,,
5,OTI158B,0.5,1,0.4,0.5,,,
5,OTI158B,0.5,2,0.4,0.5,,,
5,OTI158B,0.5,3,0.5,0.6,,,
5,OTI158B,0.3,1,0.5,0.8,,,
5,OTI158B,0.3,2,0.4,0.6,,,
5,OTI158B,0.3,3,NA,NA,,,
5,OTI755B,0.5,1,0.4,NA,,,
5,OTI755B,0.5,2,0.4,NA,,,
5,OTI755B,0.5,3,0.4,NA,,,
5,OTI755B,0.3,1,0.5,0.5,,,whole plate?
5,OTI755B,0.3,2,0.5,0.5,,,whole plate?
5,OTI755B,0.3,3,0.5,0.5,,,whole plate?
5,OTI031,0.5,1,0.6,0.6,,,
